"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
1000,1.0,0.0,0.9999999988355321,0.9999999988196823,0.1109511504,36.203867196751226
2000,1.0,0.0,0.9999999994128835,0.9999999994025913,0.1921199982,25.599999999999998
3000,1.0,0.0,0.9999999996172784,0.9999999996156085,0.2123476682,20.902312471749784
4000,1.0,0.0,0.9999999996947493,0.9999999996938364,0.18823425459999998,18.101933598375613
5000,1.0,0.0,0.9999999997583305,0.9999999997572026,0.28800438159999997,16.190861620062098
6000,1.0,0.0,0.9999999997980134,0.999999999797503,0.3228170544,14.78016689125442
7000,1.0,0.0,0.9999999998369573,0.9999999998363351,0.4065595944,13.683775585916127
8000,1.0,0.0,0.999999999848878,0.9999999998483196,0.5796669125999999,12.799999999999999
9000,1.0,0.0,0.9999999998679796,0.9999999998677612,0.7050594934,12.067955732250411
10000,1.0,0.0,0.99999999988969,0.9999999998894381,0.7738472628,11.448668044798923
11000,1.0,0.0,0.9999999998880197,0.999999999887822,0.855977441,10.915876677407253
12000,1.0,0.0,0.9999999999001667,0.999999999900069,0.9419460278,10.451156235874892
13000,1.0,0.0,0.9999999999105114,0.9999999999104009,1.0171824852,10.041146119075023
14000,1.0,0.0,0.9999999999149709,0.9999999999149092,1.102824401,9.675890509036218
15000,1.0,0.0,0.9999999999210946,0.9999999999209821,1.1724537828,9.347798314754836
16000,1.0,0.0,0.9999999999264583,0.9999999999263764,1.2523607187999999,9.050966799187806
17000,1.0,0.0,0.9999999999282367,0.9999999999281861,1.3314402680000001,8.780727559296453
18000,1.0,0.0,0.999999999934208,0.9999999999341254,1.431207613,8.533333333333333
19000,1.0,0.0,0.9999999999397872,0.9999999999397232,1.4430286717999998,8.305736761895044
20000,1.0,0.0,0.9999999999376102,0.9999999999375507,1.412645762,8.095430810031049
